Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14865028,2,"Wednesday, October 20, 2010 07:42:07 UTC",32.4252,-115.5630,3.3,6.80,54,"Baja California, Mexico"
ci,14865012,2,"Wednesday, October 20, 2010 07:17:44 UTC",33.3122,-116.6695,1.5,24.90,22,"Southern California"
us,a000425q,5,"Wednesday, October 20, 2010 07:12:36 UTC",12.8615,124.7226,5.1,70.50,23,"Samar, Philippines"
nc,71476596,0,"Wednesday, October 20, 2010 07:08:13 UTC",39.6327,-122.8330,1.4,3.10, 7,"Northern California"
ak,10104231,1,"Wednesday, October 20, 2010 07:00:33 UTC",63.9491,-148.7691,1.5,0.00,14,"Central Alaska"
us,a0004258,7,"Wednesday, October 20, 2010 06:58:15 UTC",24.6236,-108.9928,5.8,10.00,212,"Gulf of California"
ak,10104228,1,"Wednesday, October 20, 2010 06:39:51 UTC",63.8489,-148.4391,1.9,99.90,12,"Central Alaska"
ci,14864948,2,"Wednesday, October 20, 2010 06:06:09 UTC",32.7722,-116.0417,1.7,16.80,14,"Southern California"
us,a000424b,6,"Wednesday, October 20, 2010 05:51:22 UTC",24.3526,-109.1100,4.2,10.70,48,"Gulf of California"
ak,10104213,1,"Wednesday, October 20, 2010 05:50:37 UTC",61.4074,-148.8568,1.5,15.50, 8,"Southern Alaska"
ci,14864940,2,"Wednesday, October 20, 2010 05:42:44 UTC",35.9638,-117.6588,1.6,4.30,24,"Central California"
ci,14864932,2,"Wednesday, October 20, 2010 05:36:39 UTC",33.5605,-116.8042,1.6,22.20,17,"Southern California"
nc,71476561,0,"Wednesday, October 20, 2010 05:06:59 UTC",39.4832,-123.1260,2.1,2.50,10,"Northern California"
ci,14864844,2,"Wednesday, October 20, 2010 05:00:15 UTC",33.7903,-115.9527,1.5,9.60,41,"Southern California"
ci,14864820,2,"Wednesday, October 20, 2010 04:57:45 UTC",33.1645,-116.4423,1.3,13.10,51,"Southern California"
ak,10104196,1,"Wednesday, October 20, 2010 04:44:59 UTC",61.8047,-147.1147,2.1,38.40,25,"Southern Alaska"
nc,71476546,0,"Wednesday, October 20, 2010 04:37:04 UTC",38.8365,-122.8303,1.2,2.30,18,"Northern California"
us,a000423q,4,"Wednesday, October 20, 2010 04:30:38 UTC",24.2823,-109.2663,4.7,10.00,77,"Gulf of California"
us,a000423e,7,"Wednesday, October 20, 2010 04:15:37 UTC",24.5321,-109.1039,5.5,10.00,132,"Gulf of California"
us,a000423a,9,"Wednesday, October 20, 2010 04:09:44 UTC",24.6123,-109.0609,5.7,14.40,335,"Gulf of California"
pr,10293002,0,"Wednesday, October 20, 2010 03:55:43 UTC",18.2099,-68.7259,3.4,141.00, 7,"Dominican Republic"
us,a0004237,5,"Wednesday, October 20, 2010 03:53:41 UTC",-19.3444,-174.0324,4.9,61.40,41,"Tonga"
us,a0004232,8,"Wednesday, October 20, 2010 03:39:29 UTC",24.7635,-108.8639,4.7,8.10,161,"Gulf of California"
pr,10293003,0,"Wednesday, October 20, 2010 03:22:44 UTC",18.8110,-67.6610,2.7,3.70, 8,"Puerto Rico region"
ci,14864508,2,"Wednesday, October 20, 2010 02:46:37 UTC",32.9998,-116.3468,1.4,11.30,60,"Southern California"
pr,10293001,0,"Wednesday, October 20, 2010 02:40:23 UTC",18.4689,-66.1800,3.1,119.00, 9,"Puerto Rico region"
ci,14864484,2,"Wednesday, October 20, 2010 02:39:26 UTC",36.0410,-117.7680,2.0,3.90,10,"Central California"
ci,14864476,2,"Wednesday, October 20, 2010 02:29:44 UTC",32.6082,-115.7917,2.5,3.50,47,"Baja California, Mexico"
ci,14864460,2,"Wednesday, October 20, 2010 01:46:03 UTC",33.7793,-116.1893,1.4,3.50,20,"Southern California"
nc,71476516,0,"Wednesday, October 20, 2010 01:38:57 UTC",36.4805,-121.0597,1.7,7.50,19,"Central California"
nc,71476511,0,"Wednesday, October 20, 2010 01:20:33 UTC",38.8108,-122.7928,1.2,3.20,23,"Northern California"
ci,14864436,2,"Wednesday, October 20, 2010 01:16:55 UTC",33.1583,-115.9785,1.4,3.50,21,"Southern California"
ci,14864428,2,"Wednesday, October 20, 2010 01:13:17 UTC",33.8217,-116.1543,1.3,6.70,46,"Southern California"
ci,14864412,2,"Wednesday, October 20, 2010 01:07:59 UTC",32.6077,-115.7733,1.7,8.80,18,"Baja California, Mexico"
us,a000422l,7,"Wednesday, October 20, 2010 01:05:59 UTC",-0.4523,-80.7837,4.8,38.20,87,"near the coast of Ecuador"
nc,71476491,1,"Wednesday, October 20, 2010 00:52:05 UTC",38.8038,-122.7973,1.8,2.80,29,"Northern California"
ci,14864316,2,"Wednesday, October 20, 2010 00:31:47 UTC",35.9665,-117.6600,1.2,4.40,14,"Central California"
ak,10104089,1,"Wednesday, October 20, 2010 00:26:22 UTC",63.9508,-148.9760,1.6,0.00, 9,"Central Alaska"
nc,71476486,0,"Wednesday, October 20, 2010 00:25:11 UTC",40.3437,-124.3435,1.8,16.20, 6,"Northern California"
nn,00319094,7,"Wednesday, October 20, 2010 00:17:27 UTC",39.0895,-119.6352,1.4,14.10, 7,"Nevada"
pr,10293000,0,"Wednesday, October 20, 2010 00:00:36 UTC",18.1959,-67.2770,2.5,17.00, 9,"Mona Passage, Puerto Rico"
